,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
20,21,4,69,1,1719,138,1238,RVF-ASS-STRONG,CAPTAIN,SHIP,no,"['0', '0', '0', '0', '0', '0']",4,-0.2,1.23,3.59,10.35,3.44,2.4,5.8,4.99,4.05
21,22,4,69,1,1719,138,1238,RVF-ASS-STRONG,CAPTAIN,SHIP,no,"['0', '0', '0', '0', '0', '0']",4,20.77,21.85,23.63,19.86,23.98,27.36,19.29,20.9,15.71
22,23,1,100,1,100,199,1299,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,23.57,29.17,30.38,26.67,18.16,23.96,22.53,22.71,21.28
23,24,4,69,1,1719,138,1238,RVF-ASS-STRONG,CAPTAIN,SHIP,no,"['0', '0', '0', '0', '0', '0']",4,10.59,16.87,14.08,14.16,9.02,16,12.83,16.9,15.59
0,1,1,113,2,113,225,1325,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",5,-7.87,-8.09,-10.51,-0.98,-2.33,-1.08,0.76,-0.46,0.69
1,2,3,54,1,1154,108,1208,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",5,20.88,23.22,26.22,25.7,18.58,21.39,19.85,18.38,10.57
2,3,1,117,2,117,233,1333,RVF-ASS-STRONG,LIPS,KISS,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
3,4,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
4,5,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,14.95,16.13,15.75,15.66,16.28,15.74,16.71,15.99,18.62
5,6,4,96,1,1746,192,1292,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",5,-0.45,-1.42,-1.34,-3.77,2.62,1.61,2.05,0.54,-1.94
6,7,3,59,1,1159,118,1218,RVF-ASS-STRONG,BULLETIN,BOARD,no,"['0', '0', '0', '0', '0', '0']",5,-1.07,-1.67,-5.25,-2.68,1.35,0.76,2.47,0.12,1.42
7,8,4,96,1,1746,192,1292,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",5,0.84,-4.73,0.59,-0.23,-1.26,-2.53,-2.11,-1.4,-4.36
8,9,3,54,1,1154,108,1208,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
9,10,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,12.34,2.64,9.88,8.86,13.33,4.23,12.15,6.76,-0.45
10,11,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,13.5,10.48,9.99,7.13,8.34,8.63,0.31,3.37,-4.11
11,12,3,54,1,1154,108,1208,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",5,30.12,33.23,37.56,26.4,25.44,25.03,24.53,25.3,13.97
12,13,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,23.62,19.14,21.26,21.37,20.53,17.57,22.46,24.14,11.9
13,14,1,113,2,113,225,1325,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
14,15,1,113,2,113,225,1325,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",5,17.25,18.11,21.66,20.24,8.94,16.26,12.07,16.68,9.84
15,16,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,-4.84,1.64,-3.24,-2.74,-7.1,5.24,-8.42,-4.23,-14.63
16,17,2,64,1,614,127,1227,RVF-ASS-STRONG,ULCER,PAIN,no,"['0', '0', '0', '0', '0', '0']",5,16.29,11.98,14.58,18.14,14.87,10.16,13.82,14.31,16.18
17,18,3,54,1,1154,108,1208,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
18,19,3,54,1,1154,108,1208,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",5,15.92,10.08,17.74,15.08,18.89,4.14,16.91,7.01,5.55
19,20,1,113,2,113,225,1325,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",5,31.85,25.42,31.56,30.3,24.53,19.07,23.79,19.2,17
20,21,4,96,1,1746,192,1292,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
21,22,4,96,1,1746,192,1292,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",5,4.06,1.86,8.2,1.4,3.37,3.17,1.07,0.94,4.45
22,23,1,113,2,113,225,1325,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
23,24,4,96,1,1746,192,1292,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",5,5.61,5.22,7.64,9.13,3.83,7.59,6.62,8.79,5.74
0,1,1,117,2,117,233,1333,RVF-ASS-STRONG,LIPS,KISS,no,"['0', '0', '0', '0', '0', '0']",6,13.61,13.77,14.57,17.17,9.64,12.12,15.51,14.32,9.41
1,2,3,58,1,1158,116,1216,RVF-ASS-STRONG,POISON,DEATH,no,"['0', '0', '0', '0', '0', '0']",6,2.33,-3.73,-5.04,1.59,5.8,0.16,2.8,1.47,-1.63
2,3,1,149,2,149,297,1397,RVF-ASS-STRONG,HORIZON,SUN,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
3,4,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
4,5,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,7.59,9.16,12.68,7.48,0.01,6.83,4.3,7.41,7.49
5,6,4,114,2,1764,228,1328,RVF-ASS-STRONG,SCOUT,BOY,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
6,7,3,65,1,1165,130,1230,RVF-ASS-STRONG,AIRPORT,PLANE,no,"['0', '0', '0', '0', '0', '0']",6,3.52,2,-0.47,3.95,4.27,3.58,6.43,4.83,3.93
7,8,4,119,2,1769,238,1338,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",6,14.41,13.94,14.98,16.42,10.27,12.68,10.35,15.82,7.32
8,9,3,58,1,1158,116,1216,RVF-ASS-STRONG,POISON,DEATH,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
9,10,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,18.28,10.81,13.94,17.02,21.76,14.3,20.76,18.06,16.24
10,11,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
11,12,3,58,1,1158,116,1216,RVF-ASS-STRONG,POISON,DEATH,no,"['0', '0', '0', '0', '0', '0']",6,19.64,17.63,22.16,18.38,17.98,17.13,16.67,16.07,6.9
12,13,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,24.59,23.29,20.11,21.65,25.54,21.61,21.93,24.96,21.19
13,14,1,117,2,117,233,1333,RVF-ASS-STRONG,LIPS,KISS,no,"['0', '0', '0', '0', '0', '0']",6,20.04,18.95,24.78,20.78,10.09,16.28,10.83,16.5,8.09
14,15,1,117,2,117,233,1333,RVF-ASS-STRONG,LIPS,KISS,no,"['0', '0', '0', '0', '0', '0']",6,25.14,22.13,25.78,26.48,23.44,23.99,27.36,26.09,24.36
15,16,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,5.54,1.22,2.81,4.58,12.37,-1.14,11.63,7.6,7.92
16,17,2,76,1,626,151,1251,RVF-ASS-STRONG,SHIVER,COLD,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
17,18,3,58,1,1158,116,1216,RVF-ASS-STRONG,POISON,DEATH,no,"['0', '0', '0', '0', '0', '0']",6,9.8,8.21,11.96,11.45,9.32,7.15,11.25,11.91,5.67
18,19,3,58,1,1158,116,1216,RVF-ASS-STRONG,POISON,DEATH,no,"['0', '0', '0', '0', '0', '0']",6,12.16,5.47,10.52,10.65,14.73,6.06,12.85,12.96,9.89
